links,reviews
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Yes I would buy it again!
23 days ago
Marie
Marlboro
Very happy with the dry to very dry conditioner! As I blow out my hair the ends seem to be more smooth and controlled as I use the brush
Yes, I would recommend to a friend
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Recommended by my hair stylist
1 month ago
Kim
Midland, MI
My hair feels great! Not only clean but soft to the touch.
Yes, I would recommend to a friend
1 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Absolutely Amazing!
1 month ago
Natasha
Tennessee
I use this shampoo and conditioner for my childs mixed extremely curly hair and it is amazing! Makes the curls really bounce and her hair is super silky now!
Yes, I would recommend to a friend
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Hair so soft
2 months ago
Teresa
Rancho Palos Verdes, CA
I love the product and I love how it detangles. I just wish it was in a bottle that was not so thin. Hard to get it out
Yes, I would recommend to a friend
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Don't buy
2 months ago
Sanjie
Elk Grove, California
This shampoo and conditioner made my hair fall out alot. It made me so worried that what is wrong with my hair until i realized it is this shampoo and conditioner. I stopped using it about a week ago and its finally slowing down. Keep away!
No, I would not recommend to a friend
1 7"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"AMAZING!
2 months ago
Tippi
California
I have very thick, coarse, long hair that frizzes very easily. I used this recently on a beach trip and I was amazed. My hair is awful at the ocean. It gets so ridiculously frizzy and is so unmanageable. After using Biolage hydrasource shampoo and conditioner my hair was soft and smooth and was not very frizzy.
1 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Oh so soft!
2 months ago
Becca
Oklahoma
Leaves my hair soft, shiny and healthier feeling! I love it! I dont like the price.
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Crying
2 months ago
Ash
Chicago
Since buying this my hair falls out in clumps. I used to have thick wavy hair and now I barely have enough hair to put in a braid every time I wash my hair more and more falls out.
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Shampoo
2 months ago
maria
Ocala,,Florida
Great shampoo and conditioner. Very gentle on hair.
Yes, I would recommend to a friend
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"I love this conditioner make my hair soft .
2 months ago
Christy
Banning
Definitely will buy again it left my hair soft and manageable.
Yes, I would recommend to a friend
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"I would buy this again
3 months ago
Fla
It cleans very well keep my hair moist n soft.
Yes, I would recommend to a friend
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"THE ONE AND ONLY
3 months ago
Vanessa
Long Island NY
My brother sells all top of the line products from matrix to Aveda, kevin murphy, living proof, paul Mitchell, redken, bumble, you name it hes got i. Ive tried fhem all, I keep going back to the ultra hydra source poo and conditioner,. My all time fav, my second runner up for conditioner is KEVIN MURPHY Repair me rinse, the shampoo not ao much, my hair is always nice and healthy.. love it!!
1 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Redken So Soft Vs Biolage Ultra Line
3 months ago
Tea
Arizona
I had recently used the last of my Redken So Soft Shampoo and Conditioner and wanted to try Biolage's Ultra Hydra Shampoo and Conditioner to compare. I really wish I had repurchased Redken as it left my hair feeling silky for days (even my husband complimented it!) Biolage Ultra Hydra smells lovely but wow, my hair is SO dry after using it. I'm really surprised at how awful it makes my hair look and feel. I will definitely be sticking to Redken after this.
1 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Love!
4 months ago
P
Ga
It only takes a little and smells amazing. My hair looks great and feels so soft using this conditioner. The scent doesn't stay like I wish, but it smells good for a little bit. I wish there was a mouse and hair spray/body spray in THIS SCENT!
Yes, I would recommend to a friend
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Save your hair! Do not buy!
4 months ago
NoBiolage4Me
Albuquerque, NM
I lost so much hair with Biolage 😢
1 9"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Love it!!
6 months ago
Patricia
Little Rock Arkansas
Verified Buyer
Love the smell and the way it makes my hair feel w
Yes, I would recommend to a friend
0 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Favorite shampoo and conditioner!
7 months ago
Taylor
Texas
Verified Buyer
I have been buying this shampoo and conditioner for years, it has healed my hair and helped with my hair growth so much!
Yes, I would recommend to a friend
5 0"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"Residue !!
7 months ago
clefairy
USA
I used this conditioner and matching shampoo once on a wash day and it left a noticeable residue on my hair. It was noticeable as soon as I washed and rinsed thoroughly, and when my hair dried it looked so shiny and dirty, and got flat and stringy very soon after. Did leave hair feeling hydrated, but overall pretty icky !!
No, I would not recommend to a friend
7 2"
https://www.ulta.com/p/ultra-hydra-source-conditioner-xlsImpprod10141018?sku=2273900,"why is my hair feel so heavy and looks wet ?!
8 months ago
Taylor
Wisconsin
still frizzy. looks wet. I hate this and will be returning.
5 7"
